state,nsoil,psoil,ksoil,temperature,humidity,ph,rainfall,cropprice,crop,yield,totalprice,soiltype
meghalaya,19,17,39,24.7248557,85.5608318,6.72859921,111.278758,13500,arecanut,0.57,7695,laterite
meghalaya,19,17,39,24.7248557,85.5608318,6.72859921,111.278758,13500,arecanut,0.57,7695,sandyclayloam
meghalaya,19,17,39,24.7248557,85.5608318,6.72859921,111.278758,13500,arecanut,0.57,7695,loamy
meghalaya,19,17,39,24.7248557,85.5608318,6.72859921,111.278758,13500,arecanut,0.57,7695,inceptisols
goa,84,50,44,25.4859198,81.4063354,5.9353444,182.654935,20500,arecanut,1.77,36285,laterite
goa,84,50,44,25.4859198,81.4063354,5.9353444,182.654935,20500,arecanut,1.77,36285,sandyclayloam
goa,84,50,44,25.4859198,81.4063354,5.9353444,182.654935,20500,arecanut,1.77,36285,loamy
goa,84,50,44,25.4859198,81.4063354,5.9353444,182.654935,20500,arecanut,1.77,36285,inceptisols
goa,82,43,38,23.2861717,81.4332164,5.10558835,242.317062,22250,arecanut,1.77,39382.5,laterite
goa,82,43,38,23.2861717,81.4332164,5.10558835,242.317062,22250,arecanut,1.77,39382.5,sandyclayloam
goa,82,43,38,23.2861717,81.4332164,5.10558835,242.317062,22250,arecanut,1.77,39382.5,loamy
goa,82,43,38,23.2861717,81.4332164,5.10558835,242.317062,22250,arecanut,1.77,39382.5,inceptisols
goa,66,60,38,22.0857656,83.4703831,6.37257632,231.736495,19500,arecanut,1.77,34515,laterite
goa,66,60,38,22.0857656,83.4703831,6.37257632,231.736495,19500,arecanut,1.77,34515,sandyclayloam
goa,66,60,38,22.0857656,83.4703831,6.37257632,231.736495,19500,arecanut,1.77,34515,loamy
goa,66,60,38,22.0857656,83.4703831,6.37257632,231.736495,19500,arecanut,1.77,34515,inceptisols
assam,61,52,41,24.9766951,83.891805,6.88043122,204.800184,2200,arecanut,0.26,572,laterite
assam,61,52,41,24.9766951,83.891805,6.88043122,204.800184,2200,arecanut,0.26,572,sandyclayloam
assam,61,52,41,24.9766951,83.891805,6.88043122,204.800184,2200,arecanut,0.26,572,loamy
assam,61,52,41,24.9766951,83.891805,6.88043122,204.800184,2200,arecanut,0.26,572,inceptisols
kerala,24,73,20,19.637362,32.315289,4.60869524,176.413409,21500,arecanut,0.27,5805,laterite
kerala,24,73,20,19.637362,32.315289,4.60869524,176.413409,21500,arecanut,0.27,5805,sandyclayloam
kerala,24,73,20,19.637362,32.315289,4.60869524,176.413409,21500,arecanut,0.27,5805,loamy
kerala,24,73,20,19.637362,32.315289,4.60869524,176.413409,21500,arecanut,0.27,5805,inceptisols
kerala,14,75,24,24.5475782,57.3414485,6.43616004,118.360655,21750,arecanut,0.27,5872.5,laterite
kerala,14,75,24,24.5475782,57.3414485,6.43616004,118.360655,21750,arecanut,0.27,5872.5,sandyclayloam
kerala,14,75,24,24.5475782,57.3414485,6.43616004,118.360655,21750,arecanut,0.27,5872.5,loamy
kerala,14,75,24,24.5475782,57.3414485,6.43616004,118.360655,21750,arecanut,0.27,5872.5,inceptisols
kerala,16,73,19,18.4164562,34.8054103,4.68407924,163.274747,19750,arecanut,0.27,5332.5,laterite
kerala,16,73,19,18.4164562,34.8054103,4.68407924,163.274747,19750,arecanut,0.27,5332.5,sandyclayloam
